zcta,sampleSize,rateMale,rateFemale,medianAge,medianIncome,rentShareOfIncome,degreeRate,rateNeverMarried
90001,59832,51.7,48.3,29.1,43360,35.9,3.2,54.2
90002,53302,47.7,52.3,28,37285,43.3,3.3,54.7
90003,73730,49,51,28.3,40598,41.3,3.3,54.4
90004,60541,49.3,50.7,35.2,49675,34.8,25.3,61.1
90005,39732,50.4,49.6,35.6,38491,36.2,22.9,62.1
90006,59576,49.5,50.5,34.1,37072,35.8,13,60.4
90007,42433,51.6,48.4,24.3,27406,40.2,12.7,75.3
90008,31754,43.8,56.2,43.2,43364,42.6,22.5,62.1
90010,3822,47.7,52.3,37.1,63112,35.2,40.8,62
90011,111165,50.6,49.4,28.7,40940,38,3,55.6
90012,36552,61.8,38.2,35.3,47027,32.7,26.1,73.4
90013,12559,63.5,36.5,43.3,22316,31,34.4,80.1
90014,8688,59.9,40.1,41.7,40641,29.9,40.8,81
90015,22651,50.8,49.2,31.9,43890,33,27.2,66.3
90016,45899,49.9,50.1,37.4,48715,35.5,17.5,58.9
90017,27723,53.8,46.2,31.7,35605,34.4,21.6,64.1
90018,53490,48.4,51.6,34.4,45984,37.5,13.8,58.3
90019,64534,49.2,50.8,38.2,56389,33.5,25.4,60.4
90020,39189,48.9,51.1,34.4,49068,34.7,30.6,60.3
90021,2945,61.6,38.4,39.2,21635,30.7,24.6,74.8
90022,67014,49.3,50.7,32.6,46051,33.4,5.5,54.6
90023,46680,50.7,49.3,31.4,42972,34.1,3.9,56
90024,51627,44.5,55.5,22.6,65855,48.4,31.1,77.6
90025,46883,51.3,48.7,34,87280,29.9,54.9,67.3
90026,68906,51,49,34.7,65269,30.4,30,65.5
90027,44770,48.5,51.5,38.1,66947,30.9,44.9,64
90028,29774,53.8,46.2,36.3,45499,34.5,39.4,75.4
90029,36668,50.4,49.6,36.2,41998,34.8,22.9,64.7
90031,39916,48.9,51.1,35.6,48479,34.6,14.8,58.7
90032,48031,49.3,50.7,34,57225,33.6,13.3,57.9
90033,49155,48.1,51.9,31.1,38266,36.2,7.1,56.8
90034,53861,50.9,49.1,34,75714,29.5,45.2,65.4
90035,27272,47.7,52.3,36.3,89337,31.7,45.7,55.3
90036,37965,46.2,53.8,34.8,80539,33.9,52.2,62.2
90037,67640,50.2,49.8,30.7,35424,43.5,4.3,56.7
90038,28580,53.6,46.4,33.9,47116,35.9,24.7,68.6
