sampleSize,rateMale,rateFemale,medianAge,medianIncome,rentShareOfIncome,degreeRate,rateNeverMarried,Boba_shop_cnt,university_college_count,log_median
46593,48.6,51.4,42.8,100480,38.8,40.8,51.2,0,0,11.517713981702025
72348,50.6,49.4,31.5,59819,35.9,10.8,55.1,0,2,10.999078615227093
50606,48.7,51.3,33.8,62153,35.3,12.2,55.6,0,0,11.03735436608764
35191,48.5,51.5,29.2,56002,36.3,8.3,58.8,0,3,10.933142683365261
62703,49.3,50.7,42,59776,35.8,14.8,56.1,0,1,10.998359521588515
34007,46.5,53.5,41,86201,35.6,26,51.4,0,1,11.364437057512568
25004,48.7,51.3,42.4,86415,36.2,34.7,51.2,0,0,11.366916550834594
38664,48.6,51.4,41.8,58658,37.7,20.7,57.9,9,1,10.979479247166704
35133,47.6,52.4,42.7,75672,35.5,28.4,51.7,0,0,11.234163489893007
44440,47.8,52.2,44.3,101841,29.4,37.1,53.2,0,1,11.531168052507509
45444,48.8,51.2,37.5,82128,32.3,15.7,53.7,0,0,11.316034284800084
33397,48.9,51.1,39.5,84530,36.8,22.9,52.7,0,0,11.344861779922974
29619,47.2,52.8,38.3,82954,29.2,24.2,56,0,0,11.32604151627633
54768,47.7,52.3,40.3,60519,33.8,28.5,57.4,4,0,11.01071264430246
29567,50.3,49.7,42.3,63264,33.7,22.6,56.7,0,2,11.055071725970343
7644,51.8,48.2,48,105714,39.4,20.5,55.7,0,0,11.568492613418684
2683,56.3,43.7,46.1,64969,34.4,14.7,56.1,0,0,11.081665512036867
39367,46.6,53.4,33.2,41537,35,10.3,52.5,0,0,10.634339875274723
74264,49.5,50.5,30.4,46600,34.8,6.5,52.4,0,0,10.749355820113736
70237,53.2,46.8,36.2,79990,32.5,16,54.8,0,0,11.289656905842868
14392,50.2,49.8,35.1,51719,44.3,4.9,50.6,0,0,10.853580497818749
1164,60.1,39.9,57.5,43913,0,13.7,64,0,0,10.689965682788792
77506,48.3,51.7,29.1,45918,39.6,4.9,51.8,0,0,10.734612476037976
50601,48.7,51.3,38.2,93055,28.4,18.5,50.4,0,0,11.440945995178064
39905,51.3,48.7,32,65728,35.9,6.6,51.3,0,0,11.09328029328823
1709,46.9,53.1,52.1,51630,51,13.9,49.4,0,0,10.851858177873694
357,65.3,34.7,48.6,0,0,22.4,69.7,0,0,-Inf
6744,44.2,55.8,31.1,47453,38.6,3.9,52.2,0,0,10.767495026486278
